payment_id,student_id,subject_id,date_id,currency,amount_original,exchange_rate,amount_converted_pkr,payment_method_id,invoice_sent
1,103,74,1547,OMR,374.13,2.83,1058.79,2,False
2,436,57,1347,SAR,430.83,3.22,1387.27,2,False
3,349,23,1194,SAR,215.56,4.29,924.75,8,False
4,271,36,1483,OMR,298.44,4.55,1357.9,4,False
5,107,57,1587,KWD,215.44,4.59,988.87,8,True
6,72,1,1279,AED,435.87,2.99,1303.25,4,True
7,189,72,1347,SAR,474.46,4.79,2272.66,1,True
8,21,3,1591,OMR,319.85,2.79,892.38,7,True
9,103,14,1477,OMR,275.62,5.37,1480.08,3,True
10,122,34,1097,AED,212.18,4.81,1020.59,7,True
11,467,70,1281,OMR,202.05,4.6,929.43,2,False
12,215,69,1629,KWD,363.59,3.15,1145.31,4,False
13,331,51,1418,KWD,300.03,2.92,876.09,4,False
14,459,29,1222,SAR,489.23,2.94,1438.34,5,True
15,88,48,1251,USD,445.24,3.19,1420.32,3,False
16,373,16,1079,OMR,335.27,5.01,1679.7,5,False
17,100,57,1681,KWD,259.59,4.48,1162.96,8,False
18,360,10,1412,AED,314.83,5.4,1700.08,2,False
19,152,19,1668,AED,221.49,2.78,615.74,8,False
20,131,67,1392,USD,386.82,4.62,1787.11,8,True
21,150,36,1333,USD,459.54,5.06,2325.27,4,True
22,309,4,1327,USD,330.62,3.94,1302.64,7,False
23,258,75,1001,AED,344.11,2.68,922.21,2,False
24,344,33,1202,OMR,481.35,4.44,2137.19,6,False
25,492,28,1257,KWD,292.87,4.36,1276.91,6,True
26,414,9,1366,AED,230.51,5.33,1228.62,1,False
27,294,75,1145,KWD,220.69,4.97,1096.83,3,True
28,386,6,1377,USD,430.46,4.13,1777.8,2,False
29,192,49,1440,SAR,265.5,2.84,754.02,6,False
30,444,76,1454,OMR,499.68,2.67,1334.15,3,True
31,277,22,1406,USD,488.94,5.21,2547.38,8,False
32,161,48,1018,USD,456.13,3.92,1788.03,4,True
33,460,21,1432,KWD,351.17,4.43,1555.68,7,True
34,314,33,1428,AED,352.33,4.65,1638.33,6,False
35,22,56,1251,SAR,479.65,4.17,2000.14,2,True
36,253,29,1561,OMR,289.2,5.08,1469.14,5,True
37,236,53,1648,SAR,346.01,2.68,927.31,1,False
38,345,40,1220,USD,320.78,4.79,1536.54,6,False
39,49,74,1112,SAR,307.57,4.79,1473.26,5,False
40,475,18,1148,OMR,467.55,3.2,1496.16,1,True
41,59,47,1559,USD,417.32,2.86,1193.54,1,True
42,170,13,1057,OMR,483.34,4.42,2136.36,3,False
43,476,27,1196,SAR,221.62,3.5,775.67,2,False
44,188,62,1648,USD,448.18,2.55,1142.86,2,True
45,464,74,1706,USD,298.41,3.82,1139.93,4,True
46,271,45,1717,OMR,377.29,4.42,1667.62,6,False
47,190,3,1017,AED,411.09,5.25,2158.22,6,False
48,446,22,1214,USD,242.47,3.8,921.39,1,True
49,175,27,1717,OMR,424.54,2.93,1243.9,8,False
50,446,55,1635,OMR,302.21,3.79,1145.38,5,True
51,51,67,1015,OMR,283.57,4.79,1358.3,5,False
52,364,33,1676,AED,341.46,2.79,952.67,8,False
53,55,2,1659,KWD,434.88,3.06,1330.73,2,True
54,244,75,1398,USD,322.71,3.32,1071.4,7,False
55,320,46,1232,SAR,363.56,3.87,1406.98,5,False
56,131,74,1024,OMR,271.55,5.25,1425.64,4,True
57,485,33,1400,SAR,295.37,4.79,1414.82,6,True
58,307,58,1364,OMR,482.43,4.37,2108.22,6,True
59,135,7,1294,OMR,475.7,4.92,2340.44,6,True
60,21,15,1436,USD,466.28,5.15,2401.34,8,True
61,329,26,1070,AED,316.54,3.89,1231.34,5,True
62,167,11,1711,AED,208.8,4.73,987.62,6,True
63,274,38,1558,SAR,475.71,5.27,2506.99,8,True
64,388,27,1024,KWD,320.23,4.1,1312.94,7,False
65,89,7,1724,AED,441.07,4.79,2112.73,6,True
66,316,1,1373,AED,354.7,5.45,1933.12,1,False
67,14,74,1544,KWD,468.02,3.92,1834.64,4,False
68,242,21,1457,AED,235.08,4.52,1062.56,3,False
69,265,30,1213,USD,448.93,3.84,1723.89,5,False
70,346,8,1210,USD,460.22,4.65,2140.02,6,False
71,53,3,1540,SAR,287.02,3.66,1050.49,1,True
72,386,55,1038,SAR,387.57,2.88,1116.2,7,False
73,340,15,1259,SAR,216.51,5.16,1117.19,8,False
74,92,36,1676,USD,294.02,4.63,1361.31,5,False
75,367,6,1094,SAR,311.79,5.48,1708.61,4,False
76,444,42,1389,SAR,228.46,4.68,1069.19,8,False
77,455,50,1219,USD,330.0,5.04,1663.2,7,True
78,428,18,1267,KWD,394.38,5.37,2117.82,8,False
79,264,50,1493,SAR,394.76,2.68,1057.96,2,False
80,431,30,1629,AED,340.99,5.07,1728.82,3,False
81,35,77,1065,USD,237.03,2.83,670.79,1,True
82,206,39,1386,KWD,223.63,5.14,1149.46,1,False
83,81,12,1192,AED,446.74,4.82,2153.29,4,False
84,420,59,1319,AED,367.87,3.9,1434.69,3,True
