payout_id,teacher_id,date_id,hours_taught,rate_per_hour,rate_basis,total_payout,currency,bonus
1,1,1129,8,1300,Standard,10400,PKR,500
2,23,1517,8,1700,Intro Offer,13600,PKR,500
3,80,1324,10,1300,Standard,13000,PKR,500
4,48,1121,10,1500,Urgent,15000,PKR,0
5,81,1707,12,1500,Urgent,18000,PKR,0
6,49,1334,10,1500,Standard,15000,PKR,0
7,73,1022,12,1500,Urgent,18000,PKR,1000
8,91,1115,8,1500,Standard,12000,PKR,1000
9,39,1666,10,1300,Urgent,13000,PKR,500
10,26,1296,10,1700,Standard,17000,PKR,0
11,63,1387,8,1500,Urgent,12000,PKR,0
12,45,1419,8,1500,Standard,12000,PKR,1000
13,98,1040,12,1700,Intro Offer,20400,PKR,1000
14,69,1368,12,1500,Urgent,18000,PKR,1000
15,85,1089,10,1500,Standard,15000,PKR,1000
16,63,1663,8,1500,Intro Offer,12000,PKR,1000
17,30,1113,10,1300,Intro Offer,13000,PKR,1000
18,83,1273,10,1700,Intro Offer,17000,PKR,500
19,76,1321,10,1500,Urgent,15000,PKR,500
20,64,1192,10,1700,Urgent,17000,PKR,500
21,90,1473,8,1700,Standard,13600,PKR,500
22,86,1473,10,1500,Standard,15000,PKR,1000
23,53,1037,8,1300,Intro Offer,10400,PKR,500
24,45,1345,10,1500,Intro Offer,15000,PKR,1000
25,13,1608,8,1700,Intro Offer,13600,PKR,1000
26,17,1239,10,1500,Urgent,15000,PKR,500
27,84,1292,8,1300,Standard,10400,PKR,0
28,47,1693,12,1700,Standard,20400,PKR,500
29,85,1451,12,1500,Intro Offer,18000,PKR,500
30,33,1167,12,1300,Urgent,15600,PKR,500
31,60,1549,8,1300,Standard,10400,PKR,1000
32,14,1167,10,1300,Urgent,13000,PKR,1000
33,99,1015,12,1300,Urgent,15600,PKR,1000
34,45,1465,10,1500,Urgent,15000,PKR,0
35,79,1098,8,1700,Urgent,13600,PKR,1000
36,91,1108,12,1500,Urgent,18000,PKR,0
37,32,1612,10,1500,Standard,15000,PKR,0
38,38,1187,10,1700,Urgent,17000,PKR,1000
39,71,1505,12,1700,Urgent,20400,PKR,1000
40,88,1097,12,1500,Intro Offer,18000,PKR,1000
41,32,1301,10,1700,Standard,17000,PKR,0
42,55,1499,10,1700,Standard,17000,PKR,0
43,83,1211,12,1500,Intro Offer,18000,PKR,500
44,4,1023,8,1300,Intro Offer,10400,PKR,500
45,43,1693,10,1500,Intro Offer,15000,PKR,0
46,39,1692,8,1500,Standard,12000,PKR,1000
47,86,1644,12,1700,Intro Offer,20400,PKR,500
48,89,1624,12,1700,Standard,20400,PKR,500
49,29,1655,12,1300,Standard,15600,PKR,1000
50,40,1612,10,1700,Standard,17000,PKR,0
51,85,1154,8,1500,Intro Offer,12000,PKR,0
52,65,1200,10,1500,Standard,15000,PKR,1000
53,54,1334,12,1300,Urgent,15600,PKR,0
54,56,1548,8,1500,Standard,12000,PKR,1000
55,46,1425,10,1700,Urgent,17000,PKR,1000
56,43,1315,10,1300,Standard,13000,PKR,0
57,47,1630,12,1500,Intro Offer,18000,PKR,500
58,20,1662,12,1700,Standard,20400,PKR,0
59,28,1328,8,1300,Urgent,10400,PKR,1000
60,22,1450,10,1500,Standard,15000,PKR,1000
61,35,1309,12,1300,Urgent,15600,PKR,1000
62,85,1522,12,1700,Intro Offer,20400,PKR,0
63,81,1387,10,1700,Intro Offer,17000,PKR,500
64,76,1151,10,1700,Urgent,17000,PKR,1000
65,15,1241,10,1500,Urgent,15000,PKR,1000
66,39,1135,8,1300,Intro Offer,10400,PKR,500
67,86,1561,12,1700,Urgent,20400,PKR,500
68,29,1200,12,1700,Standard,20400,PKR,1000
69,9,1600,8,1500,Standard,12000,PKR,1000
70,35,1296,12,1700,Intro Offer,20400,PKR,1000
71,5,1144,8,1300,Intro Offer,10400,PKR,1000
72,81,1019,12,1700,Urgent,20400,PKR,0
73,39,1685,10,1300,Intro Offer,13000,PKR,1000
74,35,1275,12,1300,Urgent,15600,PKR,500
75,22,1523,10,1500,Standard,15000,PKR,1000
76,39,1594,8,1300,Intro Offer,10400,PKR,0
77,69,1571,10,1700,Urgent,17000,PKR,0
78,81,1614,12,1500,Standard,18000,PKR,500
79,51,1529,12,1500,Urgent,18000,PKR,1000
80,87,1688,10,1500,Intro Offer,15000,PKR,0
81,82,1099,8,1300,Standard,10400,PKR,0
82,91,1520,8,1500,Standard,12000,PKR,500
83,24,1689,12,1300,Standard,15600,PKR,500
84,81,1350,8,1500,Urgent,12000,PKR,500
85,57,1520,8,1500,Urgent,12000,PKR,500
86,53,1049,10,1300,Standard,13000,PKR,500
87,24,1335,12,1500,Standard,18000,PKR,1000
88,68,1529,10,1500,Urgent,15000,PKR,0
89,17,1270,12,1700,Urgent,20400,PKR,1000
90,76,1448,8,1700,Standard,13600,PKR,500
91,86,1112,8,1700,Standard,13600,PKR,500
92,55,1216,8,1700,Urgent,13600,PKR,1000
93,33,1658,8,1700,Standard,13600,PKR,0
94,94,1269,8,1500,Standard,12000,PKR,500
95,93,1204,8,1300,Urgent,10400,PKR,1000
96,67,1226,12,1500,Urgent,18000,PKR,0
97,48,1334,10,1700,Standard,17000,PKR,0
98,15,1328,8,1700,Intro Offer,13600,PKR,1000
99,88,1175,8,1700,Intro Offer,13600,PKR,1000
100,52,1701,10,1700,Intro Offer,17000,PKR,1000
101,64,1543,8,1700,Intro Offer,13600,PKR,1000
102,68,1064,12,1700,Urgent,20400,PKR,500
103,55,1149,10,1700,Urgent,17000,PKR,1000
104,31,1497,12,1300,Intro Offer,15600,PKR,0
105,88,1599,10,1700,Standard,17000,PKR,500
106,13,1189,8,1300,Intro Offer,10400,PKR,500
107,31,1320,12,1500,Urgent,18000,PKR,0
108,68,1658,10,1500,Intro Offer,15000,PKR,500
109,5,1298,10,1500,Intro Offer,15000,PKR,1000
110,76,1018,12,1500,Intro Offer,18000,PKR,0
111,57,1075,8,1300,Urgent,10400,PKR,1000
112,13,1598,8,1700,Standard,13600,PKR,0
113,58,1126,8,1500,Intro Offer,12000,PKR,500
114,15,1607,12,1300,Urgent,15600,PKR,0
115,98,1379,10,1700,Standard,17000,PKR,500
116,13,1482,10,1700,Standard,17000,PKR,500
117,3,1554,10,1700,Standard,17000,PKR,1000
118,22,1531,12,1300,Intro Offer,15600,PKR,1000
119,68,1342,10,1700,Standard,17000,PKR,500
120,99,1164,8,1700,Standard,13600,PKR,500
121,45,1527,8,1500,Intro Offer,12000,PKR,1000
122,51,1450,12,1300,Standard,15600,PKR,1000
123,61,1280,12,1500,Intro Offer,18000,PKR,1000
124,31,1696,12,1700,Standard,20400,PKR,500
125,35,1592,10,1700,Intro Offer,17000,PKR,500
126,84,1447,10,1500,Intro Offer,15000,PKR,1000
127,48,1255,10,1300,Standard,13000,PKR,500
128,92,1184,8,1500,Urgent,12000,PKR,0
129,10,1388,10,1700,Standard,17000,PKR,1000
130,21,1143,12,1500,Urgent,18000,PKR,500
131,64,1488,12,1700,Standard,20400,PKR,500
132,76,1365,10,1500,Urgent,15000,PKR,0
133,15,1472,8,1700,Standard,13600,PKR,1000
134,57,1048,12,1300,Urgent,15600,PKR,1000
135,92,1276,12,1500,Urgent,18000,PKR,1000
136,42,1083,10,1300,Standard,13000,PKR,1000
137,11,1433,10,1500,Urgent,15000,PKR,1000
138,30,1120,12,1500,Intro Offer,18000,PKR,1000
139,31,1650,8,1700,Intro Offer,13600,PKR,1000
140,69,1387,10,1700,Intro Offer,17000,PKR,1000
141,91,1414,10,1300,Intro Offer,13000,PKR,500
142,3,1720,8,1500,Standard,12000,PKR,1000
143,42,1538,10,1700,Standard,17000,PKR,1000
144,83,1476,10,1700,Urgent,17000,PKR,1000
145,64,1227,12,1700,Urgent,20400,PKR,1000
146,25,1540,10,1700,Intro Offer,17000,PKR,0
147,96,1650,12,1700,Intro Offer,20400,PKR,1000
148,1,1379,8,1500,Intro Offer,12000,PKR,0
149,47,1119,8,1500,Intro Offer,12000,PKR,1000
150,93,1716,12,1500,Standard,18000,PKR,500
151,100,1614,8,1700,Intro Offer,13600,PKR,500
152,88,1005,12,1300,Urgent,15600,PKR,0
